id,pollID,userID,slotIndex,addDateTime
2254,44,18533,8,2021-10-23 06:14:17
2255,34,18976,3,2021-10-23 17:43:25
2256,34,18977,6,2021-10-23 18:48:34
2257,43,18976,2,2021-10-23 19:49:05
2258,44,18978,8,2021-10-24 00:16:07
2259,34,16420,8,2021-10-24 04:05:19
2260,35,16420,0,2021-10-24 04:08:12
2261,43,13666,6,2021-10-24 14:58:14
2262,41,6385,5,2021-10-24 20:06:55
2263,34,4430,0,2021-10-24 23:29:46
2264,34,12715,2,2021-10-24 23:37:30
2265,41,15516,5,2021-10-24 23:37:42
2266,42,15516,4,2021-10-24 23:39:28
2267,35,12715,5,2021-10-25 00:00:54
2268,41,12214,8,2021-10-25 00:24:38
2269,42,12214,8,2021-10-25 00:24:50
2270,43,7330,2,2021-10-25 00:37:47
2271,44,7330,2,2021-10-25 00:38:20
2272,34,7519,5,2021-10-25 01:24:48
2273,35,7519,0,2021-10-25 01:25:57
2274,34,12347,5,2021-10-25 01:53:53
2275,35,12347,0,2021-10-25 01:54:26
2276,34,13169,0,2021-10-25 02:36:09
2277,34,18985,8,2021-10-25 06:41:30
2278,34,18987,6,2021-10-25 11:32:11
2279,35,18987,3,2021-10-25 11:32:33
2280,43,18587,0,2021-10-25 13:28:49
2281,43,18805,0,2021-10-25 15:29:52
2282,44,18805,2,2021-10-25 15:30:09
2283,45,18952,0,2021-10-25 19:03:18
2284,45,18146,0,2021-10-25 21:55:48
2285,45,3764,0,2021-10-25 22:04:48
2286,44,11815,2,2021-10-25 22:09:42
2287,43,5937,0,2021-10-25 22:14:30
2288,34,3577,0,2021-10-25 22:15:31
2289,41,10999,0,2021-10-25 22:20:09
2290,44,3307,0,2021-10-25 22:20:32
2291,44,5937,3,2021-10-25 22:22:47
2292,45,3307,0,2021-10-25 22:23:36
2293,45,11226,0,2021-10-25 22:45:59
2294,46,11226,0,2021-10-25 22:50:16
2295,47,11226,8,2021-10-25 22:52:33
2296,45,4631,0,2021-10-25 23:57:56
2297,46,4631,0,2021-10-25 23:58:11
2298,47,4631,7,2021-10-25 23:58:54
2299,34,18992,4,2021-10-26 00:23:11
2300,41,18992,3,2021-10-26 00:47:04
2301,42,18992,5,2021-10-26 00:47:43
2302,46,13411,0,2021-10-26 01:18:56
2303,47,13411,8,2021-10-26 01:19:55
2304,43,11862,0,2021-10-26 01:39:11
2305,44,11862,4,2021-10-26 01:40:50
2306,45,11862,0,2021-10-26 01:41:34
2307,46,11862,2,2021-10-26 01:41:47
2308,45,2468,0,2021-10-26 01:55:59
2309,46,2468,3,2021-10-26 01:59:21
2310,41,16054,8,2021-10-26 02:35:05
2311,42,16054,7,2021-10-26 02:38:52
2312,43,16054,0,2021-10-26 02:50:30
2313,44,16054,8,2021-10-26 02:50:55
2314,45,16054,0,2021-10-26 02:54:03
2315,47,14602,8,2021-10-26 05:28:42
2316,48,14602,5,2021-10-26 05:29:33
2317,34,11302,2,2021-10-26 07:09:39
2318,43,11302,0,2021-10-26 07:10:59
2319,44,11302,4,2021-10-26 07:12:24
2320,45,15846,6,2021-10-26 10:51:10
2321,45,14901,0,2021-10-26 11:39:33
2322,46,14901,4,2021-10-26 11:40:39
2323,34,3128,5,2021-10-26 11:45:14
2324,35,3128,0,2021-10-26 11:45:34
2325,47,14901,8,2021-10-26 11:51:01
2326,48,14901,4,2021-10-26 11:52:34
2327,45,15682,0,2021-10-26 12:31:12
2328,46,8234,8,2021-10-26 12:54:04
2329,34,18995,3,2021-10-26 13:07:41
2330,34,11359,5,2021-10-26 13:08:13
2331,43,3577,3,2021-10-26 13:08:55
2332,35,11359,0,2021-10-26 13:09:05
2333,44,3577,3,2021-10-26 13:12:02
2334,43,14818,0,2021-10-26 13:21:37
2335,44,14818,1,2021-10-26 13:23:27
2336,42,9342,6,2021-10-26 13:26:05
2337,45,18801,0,2021-10-26 14:25:24
2338,46,18801,2,2021-10-26 14:25:38
2339,34,18996,0,2021-10-26 15:17:26
2340,43,12237,0,2021-10-26 15:51:05
2341,47,18801,7,2021-10-26 20:05:39
2342,48,18801,3,2021-10-26 20:06:35
2343,46,4793,8,2021-10-26 20:26:09
2344,41,8544,3,2021-10-26 22:14:30
2345,34,19000,0,2021-10-27 00:44:45
2346,34,19002,4,2021-10-27 03:22:02
2347,47,16054,8,2021-10-27 03:48:48
2348,48,16054,0,2021-10-27 03:50:23
2349,43,18565,0,2021-10-27 05:29:42
2350,44,18565,6,2021-10-27 05:30:52
2351,45,14369,2,2021-10-27 09:40:38
2352,46,14369,2,2021-10-27 09:41:11
2353,47,14369,7,2021-10-27 09:43:07
2354,45,18907,0,2021-10-27 10:19:35
2355,46,11502,2,2021-10-27 11:29:57
2356,43,18625,0,2021-10-27 14:06:18
2357,43,18035,4,2021-10-27 16:02:08
2358,44,18035,5,2021-10-27 16:02:41
2359,41,8098,3,2021-10-27 16:14:22
2360,42,8098,3,2021-10-27 16:15:48
2361,44,8098,4,2021-10-27 16:19:07
2362,45,18121,0,2021-10-27 16:30:51
2363,46,18121,8,2021-10-27 16:31:33
2364,41,18240,0,2021-10-27 17:29:02
2365,42,18240,8,2021-10-27 17:30:33
2366,41,15232,0,2021-10-27 17:39:10
2367,41,8318,0,2021-10-27 17:39:35
2368,42,15232,8,2021-10-27 17:39:45
2369,42,8318,4,2021-10-27 17:40:33
2370,45,8507,0,2021-10-27 18:19:20
2371,46,8507,5,2021-10-27 18:19:50
2372,45,18609,0,2021-10-27 19:27:01
2373,46,18609,0,2021-10-27 19:27:44
2374,47,18609,8,2021-10-27 19:30:22
2375,34,3512,2,2021-10-27 19:44:08
2376,35,3512,0,2021-10-27 19:44:28
2377,47,18983,7,2021-10-27 20:07:13
2378,48,18983,0,2021-10-27 20:07:30
2379,45,18836,0,2021-10-27 21:36:06
2380,34,16297,3,2021-10-28 00:36:24
2381,35,16297,1,2021-10-28 00:36:52
2382,34,19011,0,2021-10-28 03:03:30
2383,47,18843,8,2021-10-28 06:19:38
2384,42,13049,4,2021-10-28 14:02:22
2385,45,18792,0,2021-10-28 14:14:15
2386,46,18792,0,2021-10-28 14:31:58
2387,43,8843,2,2021-10-28 14:32:31
2388,34,19013,0,2021-10-28 20:48:39
2389,34,19014,6,2021-10-28 21:04:52
2390,35,19014,1,2021-10-28 21:04:59
2391,45,18927,3,2021-10-28 21:05:31
2392,47,18927,3,2021-10-28 21:12:51
2393,48,18927,4,2021-10-28 21:13:12
2394,42,19015,8,2021-10-28 21:18:08
2395,43,16244,5,2021-10-28 23:09:33
2396,44,16244,0,2021-10-28 23:10:46
2397,34,13742,6,2021-10-29 01:46:33
2398,35,13742,6,2021-10-29 01:47:13
2399,46,13742,7,2021-10-29 01:54:25
2400,47,13742,8,2021-10-29 01:55:49
2401,48,13742,5,2021-10-29 01:56:00
2402,45,3577,0,2021-10-29 02:46:13
2403,46,3577,3,2021-10-29 02:47:00
2404,47,3577,5,2021-10-29 02:49:59
2405,48,3577,3,2021-10-29 02:51:43
2406,34,15198,3,2021-10-29 02:58:55
2407,45,18874,6,2021-10-29 03:30:40
2408,46,18874,8,2021-10-29 03:31:17
2409,43,8180,0,2021-10-29 05:10:08
2410,44,8180,1,2021-10-29 05:13:32
2411,45,8180,6,2021-10-29 05:15:28
2412,46,8180,0,2021-10-29 05:16:08
2413,47,8180,3,2021-10-29 05:17:14
2414,43,18088,2,2021-10-29 13:14:15
2415,43,2538,1,2021-10-29 17:37:50
2416,43,3227,8,2021-10-29 21:40:07
2417,47,18565,6,2021-10-29 21:53:02
2418,45,12050,0,2021-10-29 23:45:27
2419,46,12050,0,2021-10-29 23:46:20
2420,35,19023,0,2021-10-30 00:51:12
2421,34,9260,0,2021-10-30 01:53:35
2422,35,9260,0,2021-10-30 01:54:09
2423,47,18987,7,2021-10-30 10:48:34
2424,45,8927,0,2021-10-30 13:39:25
2425,46,8927,0,2021-10-30 13:39:52
2426,46,14485,8,2021-10-30 16:32:03
2427,47,14485,4,2021-10-30 16:32:50
2428,48,14485,4,2021-10-30 16:33:08
2429,34,19027,6,2021-10-30 17:53:13
2430,45,17050,0,2021-10-30 18:13:16
2431,46,18650,8,2021-10-31 00:12:52
2432,47,18650,8,2021-10-31 00:14:05
2433,48,18650,5,2021-10-31 00:14:29
2434,45,18304,1,2021-10-31 00:58:32
2435,48,7516,3,2021-10-31 03:45:58
2436,43,14470,5,2021-10-31 12:30:05
2437,44,14470,7,2021-10-31 12:31:00
2438,45,7955,0,2021-10-31 14:12:16
2439,46,7955,5,2021-10-31 14:13:04
2440,43,14233,0,2021-10-31 14:13:10
2441,35,19033,4,2021-10-31 14:16:24
2442,45,19034,0,2021-10-31 15:22:47
2443,46,19034,6,2021-10-31 15:23:38
2444,43,4956,5,2021-10-31 15:52:07
2445,44,4956,7,2021-10-31 15:52:42
2446,46,16668,7,2021-10-31 16:50:56
2447,34,19035,1,2021-10-31 16:59:45
2448,43,19035,2,2021-10-31 17:08:03
2449,45,18420,7,2021-10-31 17:55:52
2450,46,18420,0,2021-10-31 17:57:15
2451,45,6434,2,2021-10-31 19:10:08
2452,34,15611,3,2021-10-31 19:57:02
2453,35,15611,1,2021-10-31 19:57:33
2454,34,8731,7,2021-10-31 20:27:42
2455,47,19007,7,2021-10-31 20:44:46
2456,41,19038,5,2021-11-01 00:27:42
2457,35,19039,1,2021-11-01 00:57:40
2458,47,16698,7,2021-11-01 01:00:57
2459,47,18325,8,2021-11-01 02:04:31
2460,35,5976,0,2021-11-01 02:08:58
2461,41,10088,6,2021-11-01 02:57:41
2462,35,8936,0,2021-11-01 03:23:42
2463,41,8936,0,2021-11-01 03:24:10
2464,42,8936,8,2021-11-01 03:28:26
2465,43,8936,8,2021-11-01 03:29:23
2466,44,8936,2,2021-11-01 03:30:39
2467,45,8936,0,2021-11-01 03:30:48
2468,46,8936,6,2021-11-01 03:31:40
2469,47,8936,8,2021-11-01 03:32:06
2470,48,8936,8,2021-11-01 03:32:43
2471,43,18341,2,2021-11-01 03:55:08
2472,35,13281,0,2021-11-01 11:29:17
2473,41,13281,4,2021-11-01 11:30:00
2474,41,9501,3,2021-11-01 12:04:57
2475,42,9501,3,2021-11-01 12:05:20
2476,41,18032,6,2021-11-01 13:30:40
2477,42,18032,5,2021-11-01 13:37:56
2478,45,13934,4,2021-11-01 14:00:10
2479,46,13934,5,2021-11-01 14:00:57
2480,45,18711,7,2021-11-01 14:12:26
2481,46,18711,4,2021-11-01 14:16:15
2482,42,18651,0,2021-11-01 14:21:33
2483,43,18651,0,2021-11-01 14:23:03
2484,44,18341,2,2021-11-01 15:31:35
2485,45,2555,0,2021-11-01 16:17:03
2486,46,2555,0,2021-11-01 16:17:40
2487,47,2555,7,2021-11-01 16:19:02
2488,48,2555,6,2021-11-01 16:19:12
2489,42,12445,6,2021-11-01 17:14:11
2490,43,12445,8,2021-11-01 17:19:29
2491,45,6505,0,2021-11-01 17:55:22
2492,46,6505,0,2021-11-01 18:01:31
2493,45,7011,0,2021-11-01 18:14:21
2494,46,7011,0,2021-11-01 18:14:32
2495,35,19045,2,2021-11-01 19:52:16
2496,47,10424,8,2021-11-01 19:53:04
2497,43,19045,6,2021-11-01 19:55:00
2498,46,12445,1,2021-11-01 20:17:32
2499,48,12445,2,2021-11-01 20:20:31
2500,44,10752,2,2021-11-01 22:35:51
2501,45,9501,0,2021-11-01 22:53:57
2502,35,12002,6,2021-11-02 02:00:42
2503,43,12834,0,2021-11-02 02:26:07
2504,44,12834,2,2021-11-02 02:27:20
2505,45,15232,4,2021-11-02 02:58:38
2506,46,15232,3,2021-11-02 02:59:57
2507,45,13049,0,2021-11-02 03:11:09
2508,48,18696,3,2021-11-02 12:51:20
2509,35,19048,0,2021-11-02 14:12:24
2510,41,19048,3,2021-11-02 14:13:28
2511,41,18499,5,2021-11-02 14:19:30
2512,42,18499,7,2021-11-02 14:28:13
2513,47,11159,5,2021-11-02 15:18:24
2514,45,16181,5,2021-11-02 15:35:32
2515,46,16181,6,2021-11-02 15:35:49
2516,47,16181,8,2021-11-02 15:36:31
2517,48,16181,6,2021-11-02 15:36:59
2518,35,19049,0,2021-11-02 17:10:21
2519,47,9501,8,2021-11-02 17:11:21
2520,47,12237,7,2021-11-02 22:45:33
2521,43,19027,0,2021-11-02 23:11:05
2522,44,19027,5,2021-11-02 23:12:01
2523,43,13518,2,2021-11-03 01:54:36
2524,45,12695,0,2021-11-03 02:18:39
2525,46,12695,2,2021-11-03 02:32:10
2526,44,19053,7,2021-11-03 03:21:17
2527,45,19053,7,2021-11-03 03:22:20
2528,46,19053,6,2021-11-03 03:23:38
2529,48,19053,6,2021-11-03 03:24:34
2530,43,12096,0,2021-11-03 03:47:48
2531,44,12096,2,2021-11-03 03:56:06
2532,45,12096,0,2021-11-03 04:00:06
2533,46,12096,7,2021-11-03 04:01:01
2534,47,12050,4,2021-11-03 05:34:07
2535,48,12050,4,2021-11-03 05:34:39
2536,35,6016,0,2021-11-03 12:07:42
2537,41,6016,2,2021-11-03 12:08:47
2538,42,6016,2,2021-11-03 12:13:31
2539,43,6016,7,2021-11-03 12:14:22
2540,35,16686,0,2021-11-03 14:05:17
2541,35,19057,0,2021-11-03 18:18:32
2542,46,6016,2,2021-11-03 21:26:21
2543,48,6016,6,2021-11-03 21:28:58
2544,47,18304,7,2021-11-04 00:00:30
2545,43,16678,0,2021-11-04 00:53:49
2546,46,18189,0,2021-11-04 00:57:44
2547,45,18189,8,2021-11-04 00:58:04
2548,47,14818,7,2021-11-04 01:54:08
2549,48,14818,4,2021-11-04 01:57:14
2550,35,19062,0,2021-11-04 04:50:51
2551,48,19062,6,2021-11-04 04:51:40
2552,47,7955,8,2021-11-04 12:56:52
2553,48,7955,8,2021-11-04 12:57:56
2554,35,12855,0,2021-11-04 13:15:56
2555,41,12855,5,2021-11-04 13:16:32
2556,42,12855,8,2021-11-04 13:19:13
2557,43,12855,6,2021-11-04 13:19:36
2558,46,19054,7,2021-11-04 16:05:17
2559,35,19064,5,2021-11-04 17:32:04
2560,35,8905,0,2021-11-05 03:12:43
2561,41,8905,5,2021-11-05 03:13:25
2562,41,19067,0,2021-11-05 17:26:01
2563,46,19067,8,2021-11-05 17:42:49
2564,47,19067,8,2021-11-05 17:44:44
2565,44,16495,8,2021-11-05 19:49:44
2566,41,8486,4,2021-11-05 20:53:52
2567,43,13821,3,2021-11-06 01:38:11
2568,44,13821,2,2021-11-06 01:38:42
2569,35,19077,3,2021-11-06 06:16:00
2570,41,19077,5,2021-11-06 06:16:31
2571,46,19078,8,2021-11-06 06:40:59
2572,47,19078,8,2021-11-06 06:42:11
2573,43,16604,4,2021-11-06 09:16:50
2574,35,19081,1,2021-11-06 10:07:38
2575,41,19081,6,2021-11-06 10:08:07
2576,43,19080,0,2021-11-06 10:10:15
